0.53	-0.127785629	-0.123236011		0.795	-0.600114843	-0.599897241		0.795	-0.600114843	-0.600093274
0.54	-0.144700753	-0.140110672		0.81	-0.62654451	-0.626370415		0.81	-0.62654451	-0.626527305
0.55	-0.161743036	-0.157118509		0.825	-0.652655784	-0.652529653		0.825	-0.652655784	-0.652643389
0.56	-0.178907746	-0.174255166		0.84	-0.678391178	-0.678317651		0.84	-0.678391178	-0.678384056
0.57	-0.19618984	-0.191515988		0.855	-0.703690248	-0.703674146		0.855	-0.703690248	-0.703688882
0.58	-0.213583952	-0.208896012		0.87	-0.728489565	-0.728535883		0.87	-0.728489565	-0.728494455
0.59	-0.231084386	-0.226389954		0.885	-0.752722691	-0.75283659		0.885	-0.752722691	-0.752734353
0.6	-0.248685104	-0.243992199		0.9	-0.77632017	-0.776506964		0.9	-0.77632017	-0.776339135
0.61	-0.266379712	-0.26169679		0.915	-0.799209531	-0.799474677		0.915	-0.799209531	-0.799236345
0.62	-0.284161454	-0.279497419		0.93	-0.821315311	-0.821664393		0.93	-0.821315311	-0.821350531
0.63	-0.302023199	-0.297387413		0.945	-0.84255909	-0.8429978		0.945	-0.84255909	-0.842603285
0.64	-0.319957428	-0.315359723		0.96	-0.86285955	-0.863393671		0.96	-0.86285955	-0.862913298
0.65	-0.337956224	-0.333406915		0.975	-0.882132554	-0.882767932		0.975	-0.882132554	-0.882196439
0.66	-0.356011262	-0.351521155		0.99	-0.900291248	-0.901033767		0.99	-0.900291248	-0.900365856
0.67	-0.374113796	-0.369694201		1.005	-0.917246188	-0.918101741		1.005	-0.917246188	-0.917332108
0.68	-0.392254651	-0.387917388		1.02	-0.932905497	-0.93387995		1.02	-0.932905497	-0.933003314
0.69	-0.410424207	-0.406181619		1.035	-0.947175053	-0.948274208		1.035	-0.947175053	-0.947285346
0.7	-0.42861239	-0.424477352		1.05	-0.95995871	-0.961188263		1.05	-0.95995871	-0.960082046
0.71	-0.446808663	-0.442794589		1.065	-0.97115855	-0.972524042		1.065	-0.97115855	-0.971295481
0.72	-0.465002012	-0.461122865		1.08	-0.980675179	-0.982181949		1.08	-0.980675179	-0.980826237
0.73	-0.483180937	-0.479451234		1.095	-0.988408065	-0.990061192		1.095	-0.988408065	-0.988573754
0.74	-0.501333442	-0.49776826		1.11	-0.994255914	-0.996060155		1.11	-0.994255914	-0.994436707
0.75	-0.519447023	-0.516062007		1.125	-0.998117096	-1.000076823		1.125	-0.998117096	-0.998313427
0.76	-0.537508657	-0.534320025		1.14	-0.999890122	-1.002009249		1.14	-0.999890122	-1.000102378
0.77	-0.555504798	-0.55252934		1.155	-0.999474169	-1.001756076		1.155	-0.999474169	-0.999702684
0.78	-0.573421361	-0.570676445		1.17	-0.996769662	-0.999217116		1.17	-0.996769662	-0.997014708
0.79	-0.591243716	-0.588747289		1.185	-0.991678914	-0.994293978		1.185	-0.991678914	-0.991940693
0.8	-0.60895668	-0.606727266		1.2	-0.984106821	-0.986890769		1.2	-0.984106821	-0.984385454
0.81	-0.62654451	-0.624601209		1.215	-0.973961623	-0.976914836		1.215	-0.973961623	-0.974257143
0.82	-0.643990891	-0.642353378		1.23	-0.961155724	-0.964277595		1.23	-0.961155724	-0.961468065
0.83	-0.661278937	-0.659967451		1.245	-0.945606579	-0.948895403		1.245	-0.945606579	-0.945935562
0.84	-0.678391178	-0.677426521		1.26	-0.927237639	-0.930690509		1.26	-0.927237639	-0.927582968
0.85	-0.695309559	-0.694713085		1.275	-0.905979375	-0.909592064		1.275	-0.905979375	-0.906340619
0.86	-0.712015434	-0.711809037		1.29	-0.881770349	-0.8855372		1.29	-0.881770349	-0.882146936
0.87	-0.728489565	-0.728695666		1.305	-0.854558362	-0.85847217		1.305	-0.854558362	-0.854949564
0.88	-0.744712118	-0.74535365		1.32	-0.82430166	-0.828353553		1.32	-0.82430166	-0.824706581
0.89	-0.760662662	-0.761763051		1.335	-0.790970192	-0.795149518		1.335	-0.790970192	-0.791387758
0.9	-0.77632017	-0.777903313		1.35	-0.754546931	-0.758841143		1.35	-0.754546931	-0.75497588
0.91	-0.791663021	-0.793753264		1.365	-0.715029238	-0.719423785		1.365	-0.715029238	-0.715468107
0.92	-0.806669002	-0.80929111		1.38	-0.672430274	-0.676908495		1.38	-0.672430274	-0.672877389
0.93	-0.821315311	-0.824494442		1.395	-0.626780438	-0.631323465		1.395	-0.626780438	-0.627233905
0.94	-0.835578569	-0.839340233		1.41	-0.578128836	-0.582715511		1.41	-0.578128836	-0.578586531
0.95	-0.849434821	-0.853804849		1.425	-0.526544756	-0.531151552		1.425	-0.526544756	-0.527004319
0.96	-0.86285955	-0.867864049		1.44	-0.472119147	-0.476720116		1.44	-0.472119147	-0.472577978
0.97	-0.875827688	-0.881492996		1.455	-0.414966074	-0.419532804		1.455	-0.414966074	-0.415421327
0.98	-0.88831363	-0.894666265		1.47	-0.355224145	-0.359725741		1.47	-0.355224145	-0.355672725
0.99	-0.900291248	-0.907357859		1.485	-0.293057869	-0.297460968		1.485	-0.293057869	-0.293496438
1	-0.911733915	-0.919541216		1.5	-0.228658947	-0.23292775		1.5	-0.228658947	-0.229083923
1.01	-0.92261452	-0.93118923		1.515	-0.162247447	-0.166343795		1.515	-0.162247447	-0.162655016
1.02	-0.932905497	-0.942274271		1.53	-9.41E-02	-9.80E-02		1.53	-9.41E-02	-9.45E-02
1.03	-0.942578847	-0.952768201		1.545	-2.44E-02	-2.80E-02		1.545	-2.44E-02	-2.48E-02
1.04	-0.951606174	-0.962642404		1.56	4.64E-02	4.31E-02		1.56	4.64E-02	4.61E-02
1.05	-0.95995871	-0.97186781		1.575	0.11807653	0.11509403		1.575	0.11807653	0.11778094
